horsepower,origin,mpg,cylinders,displacement,weight,acceleration,model year,car name,other
130,1.0,18.0,8.0,307.0,3504.0,12.0,70.0,chevrolet chevelle malibu,1
165,1.0,15.0,8.0,350.0,3693.0,11.5,70.0,buick skylark 320,1
150,1.0,18.0,8.0,318.0,3436.0,11.0,70.0,plymouth satellite,1
150,1.0,16.0,8.0,304.0,3433.0,12.0,70.0,amc rebel sst,1
140,1.0,17.0,8.0,302.0,3449.0,10.5,70.0,ford torino,1
198,1.0,15.0,8.0,429.0,4341.0,10.0,70.0,ford galaxie 500,1
220,1.0,14.0,8.0,454.0,4354.0,9.0,70.0,chevrolet impala,1
215,1.0,14.0,8.0,440.0,4312.0,8.5,70.0,plymouth fury iii,1
225,1.0,14.0,8.0,455.0,4425.0,10.0,70.0,pontiac catalina,1
190,1.0,15.0,8.0,390.0,3850.0,8.5,70.0,amc ambassador dpl,1
170,1.0,15.0,8.0,383.0,3563.0,10.0,70.0,dodge challenger se,1
160,1.0,14.0,8.0,340.0,3609.0,8.0,70.0,plymouth 'cuda 340,1
150,1.0,15.0,8.0,400.0,3761.0,9.5,70.0,chevrolet monte carlo,1
225,1.0,14.0,8.0,455.0,3086.0,10.0,70.0,buick estate wagon (sw),1
95,3.0,24.0,4.0,113.0,2372.0,15.0,70.0,toyota corona mark ii,1
95,1.0,22.0,6.0,198.0,2833.0,15.5,70.0,plymouth duster,1
150,1.0,18.0,6.0,199.0,2774.0,15.5,70.0,amc hornet,1
85,1.0,21.0,6.0,200.0,2587.0,16.0,70.0,ford maverick,1
88,3.0,27.0,4.0,97.0,2130.0,14.5,70.0,datsun pl510,1
46,2.0,26.0,4.0,97.0,1835.0,20.5,70.0,volkswagen 1131 deluxe sedan,1
87,2.0,25.0,4.0,110.0,2672.0,17.5,70.0,peugeot 504,1
90,2.0,24.0,4.0,107.0,2430.0,14.5,70.0,audi 100 ls,1
95,2.0,25.0,4.0,104.0,2375.0,17.5,70.0,saab 99e,1
113,2.0,26.0,4.0,121.0,2234.0,12.5,70.0,bmw 2002,1
90,1.0,21.0,6.0,199.0,2648.0,15.0,70.0,amc gremlin,1
215,1.0,10.0,8.0,360.0,4615.0,14.0,70.0,ford f250,1
200,1.0,10.0,8.0,307.0,4376.0,15.0,70.0,chevy c20,1
210,1.0,11.0,8.0,318.0,4382.0,13.5,70.0,dodge d200,1
193,1.0,9.0,8.0,304.0,4732.0,18.5,70.0,hi 1200d,1
88,3.0,27.0,4.0,97.0,2130.0,14.5,71.0,datsun pl510,1
90,1.0,28.0,4.0,140.0,2264.0,15.5,71.0,chevrolet vega 2300,1
95,3.0,25.0,4.0,113.0,2228.0,14.0,71.0,toyota corona,1
150,1.0,25.0,4.0,98.0,2046.0,19.0,71.0,ford pinto,1
100,1.0,19.0,6.0,232.0,2634.0,13.0,71.0,amc gremlin,1
105,1.0,16.0,6.0,225.0,3439.0,15.5,71.0,plymouth satellite custom,1
100,1.0,17.0,6.0,250.0,3329.0,15.5,71.0,chevrolet chevelle malibu,1
88,1.0,19.0,6.0,250.0,3302.0,15.5,71.0,ford torino 500,1
100,1.0,18.0,6.0,232.0,3288.0,15.5,71.0,amc matador,1
165,1.0,14.0,8.0,350.0,4209.0,12.0,71.0,chevrolet impala,1
175,1.0,14.0,8.0,400.0,4464.0,11.5,71.0,pontiac catalina brougham,1
153,1.0,14.0,8.0,351.0,4154.0,13.5,71.0,ford galaxie 500,1
150,1.0,14.0,8.0,318.0,4096.0,13.0,71.0,plymouth fury iii,1
180,1.0,12.0,8.0,383.0,4955.0,11.5,71.0,dodge monaco (sw),1
170,1.0,13.0,8.0,400.0,4746.0,12.0,71.0,ford country squire (sw),1
175,1.0,13.0,8.0,400.0,5140.0,12.0,71.0,pontiac safari (sw),1
150,1.0,18.0,6.0,258.0,2962.0,13.5,71.0,amc hornet sportabout (sw),1
72,1.0,22.0,4.0,140.0,2408.0,19.0,71.0,chevrolet vega (sw),1
100,1.0,19.0,6.0,250.0,3282.0,15.0,71.0,pontiac firebird,1
88,1.0,18.0,6.0,250.0,3139.0,14.5,71.0,ford mustang,1
86,1.0,23.0,4.0,122.0,2220.0,14.0,71.0,mercury capri 2000,1
90,2.0,28.0,4.0,116.0,2123.0,14.0,71.0,opel 1900,1
70,2.0,30.0,4.0,79.0,2074.0,19.5,71.0,peugeot 304,1
76,2.0,30.0,4.0,88.0,2065.0,14.5,71.0,fiat 124b,1
65,1.0,31.0,4.0,71.0,1773.0,19.0,71.0,toyota corolla 1200,1
69,3.0,35.0,4.0,72.0,1613.0,18.0,71.0,datsun 1200,1
60,2.0,27.0,4.0,97.0,1834.0,19.0,71.0,volkswagen model 111,1
70,1.0,26.0,4.0,91.0,1955.0,20.5,71.0,plymouth cricket,1
95,3.0,24.0,4.0,113.0,2278.0,15.5,72.0,toyota corona hardtop,1
80,1.0,25.0,4.0,97.5,2126.0,17.0,72.0,dodge colt hardtop,1
54,2.0,23.0,4.0,97.0,2254.0,23.5,72.0,volkswagen type 3,1
90,1.0,20.0,4.0,140.0,2408.0,19.5,72.0,chevrolet vega,1
86,1.0,21.0,4.0,122.0,2226.0,16.5,72.0,ford pinto runabout,1
165,1.0,13.0,8.0,350.0,4274.0,12.0,72.0,chevrolet impala,1
175,1.0,14.0,8.0,400.0,4385.0,12.0,72.0,pontiac catalina,1
150,1.0,15.0,8.0,318.0,4135.0,13.5,72.0,plymouth fury iii,1
153,1.0,14.0,8.0,351.0,4129.0,13.0,72.0,ford galaxie 500,1
150,1.0,17.0,8.0,304.0,3672.0,11.5,72.0,amc ambassador sst,1
208,1.0,11.0,8.0,429.0,4633.0,11.0,72.0,mercury marquis,1
155,1.0,13.0,8.0,350.0,4502.0,13.5,72.0,buick lesabre custom,1
160,1.0,12.0,8.0,350.0,4456.0,13.5,72.0,oldsmobile delta 88 royale,1
190,1.0,13.0,8.0,400.0,4422.0,12.5,72.0,chrysler newport royal,1
97,3.0,19.0,3.0,70.0,2330.0,13.5,72.0,mazda rx2 coupe,1
150,1.0,15.0,8.0,304.0,3892.0,12.5,72.0,amc matador (sw),1
150,1.0,13.0,8.0,307.0,4098.0,14.0,72.0,chevrolet chevelle concours (sw),1
140,1.0,13.0,8.0,302.0,4294.0,16.0,72.0,ford gran torino (sw),1
150,1.0,14.0,8.0,318.0,4077.0,14.0,72.0,plymouth satellite custom (sw),1
112,2.0,18.0,4.0,121.0,2933.0,14.5,72.0,volvo 145e (sw),1
76,2.0,22.0,4.0,121.0,2511.0,18.0,72.0,volkswagen 411 (sw),1
87,2.0,21.0,4.0,120.0,2979.0,19.5,72.0,peugeot 504 (sw),1
69,2.0,26.0,4.0,96.0,2189.0,18.0,72.0,renault 12 (sw),1
86,1.0,22.0,4.0,122.0,2395.0,16.0,72.0,ford pinto (sw),1
92,3.0,28.0,4.0,97.0,2288.0,17.0,72.0,datsun 510 (sw),1
97,3.0,23.0,4.0,120.0,2506.0,14.5,72.0,toyouta corona mark ii (sw),1
80,1.0,28.0,4.0,98.0,2164.0,15.0,72.0,dodge colt (sw),1
88,3.0,27.0,4.0,97.0,2100.0,16.5,72.0,toyota corolla 1600 (sw),1
175,1.0,13.0,8.0,350.0,4100.0,13.0,73.0,buick century 350,1
150,1.0,14.0,8.0,304.0,3672.0,11.5,73.0,amc matador,1
145,1.0,13.0,8.0,350.0,3988.0,13.0,73.0,chevrolet malibu,1
137,1.0,14.0,8.0,302.0,4042.0,14.5,73.0,ford gran torino,1
150,1.0,15.0,8.0,318.0,3777.0,12.5,73.0,dodge coronet custom,1
198,1.0,12.0,8.0,429.0,4952.0,11.5,73.0,mercury marquis brougham,1
150,1.0,13.0,8.0,400.0,4464.0,12.0,73.0,chevrolet caprice classic,1
158,1.0,13.0,8.0,351.0,4363.0,13.0,73.0,ford ltd,1
150,1.0,14.0,8.0,318.0,4237.0,14.5,73.0,plymouth fury gran sedan,1
150,1.0,13.0,8.0,440.0,4735.0,11.0,73.0,chrysler new yorker brougham,1
225,1.0,12.0,8.0,455.0,4951.0,11.0,73.0,buick electra 225 custom,1
175,1.0,13.0,8.0,360.0,3821.0,11.0,73.0,amc ambassador brougham,1
105,1.0,18.0,6.0,225.0,3121.0,16.5,73.0,plymouth valiant,1
100,1.0,16.0,6.0,250.0,3278.0,18.0,73.0,chevrolet nova custom,1
100,1.0,18.0,6.0,232.0,2945.0,16.0,73.0,amc hornet,1
88,1.0,18.0,6.0,250.0,3021.0,16.5,73.0,ford maverick,1
95,1.0,23.0,6.0,198.0,2904.0,16.0,73.0,plymouth duster,1
46,2.0,26.0,4.0,97.0,1950.0,21.0,73.0,volkswagen super beetle,1
150,1.0,11.0,8.0,400.0,4997.0,14.0,73.0,chevrolet impala,1
167,1.0,12.0,8.0,400.0,4906.0,12.5,73.0,ford country,1
170,1.0,13.0,8.0,360.0,4654.0,13.0,73.0,plymouth custom suburb,1
180,1.0,12.0,8.0,350.0,4499.0,12.5,73.0,oldsmobile vista cruiser,1
100,1.0,18.0,6.0,232.0,2789.0,15.0,73.0,amc gremlin,1
88,3.0,20.0,4.0,97.0,2279.0,19.0,73.0,toyota carina,1
72,1.0,21.0,4.0,140.0,2401.0,19.5,73.0,chevrolet vega,1
94,3.0,22.0,4.0,108.0,2379.0,16.5,73.0,datsun 610,1
90,3.0,18.0,3.0,70.0,2124.0,13.5,73.0,maxda rx3,1
85,1.0,19.0,4.0,122.0,2310.0,18.5,73.0,ford pinto,1
107,1.0,21.0,6.0,155.0,2472.0,14.0,73.0,mercury capri v6,1
150,2.0,26.0,4.0,98.0,2265.0,15.5,73.0,fiat 124 sport coupe,1
145,1.0,15.0,8.0,350.0,4082.0,13.0,73.0,chevrolet monte carlo s,1
230,1.0,16.0,8.0,400.0,4278.0,9.5,73.0,pontiac grand prix,1
49,2.0,29.0,4.0,68.0,1867.0,19.5,73.0,fiat 128,1
75,2.0,24.0,4.0,116.0,2158.0,15.5,73.0,opel manta,1
91,2.0,20.0,4.0,114.0,2582.0,14.0,73.0,audi 100ls,1
112,2.0,19.0,4.0,121.0,2868.0,15.5,73.0,volvo 144ea,1
150,1.0,15.0,8.0,318.0,3399.0,11.0,73.0,dodge dart custom,1
110,2.0,24.0,4.0,121.0,2660.0,14.0,73.0,saab 99le,1
122,3.0,20.0,6.0,156.0,2807.0,13.5,73.0,toyota mark ii,1
180,1.0,11.0,8.0,350.0,3664.0,11.0,73.0,oldsmobile omega,1
95,1.0,20.0,6.0,198.0,3102.0,16.5,74.0,plymouth duster,1
150,1.0,21.0,6.0,200.0,2875.0,17.0,74.0,ford maverick,1
100,1.0,19.0,6.0,232.0,2901.0,16.0,74.0,amc hornet,1
100,1.0,15.0,6.0,250.0,3336.0,17.0,74.0,chevrolet nova,1
67,3.0,31.0,4.0,79.0,1950.0,19.0,74.0,datsun b210,1
80,1.0,26.0,4.0,122.0,2451.0,16.5,74.0,ford pinto,1
65,3.0,32.0,4.0,71.0,1836.0,21.0,74.0,toyota corolla 1200,1
75,1.0,25.0,4.0,140.0,2542.0,17.0,74.0,chevrolet vega,1
100,1.0,16.0,6.0,250.0,3781.0,17.0,74.0,chevrolet chevelle malibu classic,1
110,1.0,16.0,6.0,258.0,3632.0,18.0,74.0,amc matador,1
105,1.0,18.0,6.0,225.0,3613.0,16.5,74.0,plymouth satellite sebring,1
140,1.0,16.0,8.0,302.0,4141.0,14.0,74.0,ford gran torino,1
150,1.0,13.0,8.0,350.0,4699.0,14.5,74.0,buick century luxus (sw),1
150,1.0,14.0,8.0,318.0,4457.0,13.5,74.0,dodge coronet custom (sw),1
140,1.0,14.0,8.0,302.0,4638.0,16.0,74.0,ford gran torino (sw),1
150,1.0,14.0,8.0,304.0,4257.0,15.5,74.0,amc matador (sw),1
83,2.0,29.0,4.0,98.0,2219.0,16.5,74.0,audi fox,1
67,1.0,26.0,4.0,79.0,1963.0,15.5,74.0,volkswagen dasher,1
78,2.0,26.0,4.0,97.0,2300.0,14.5,74.0,opel manta,1
52,3.0,31.0,4.0,76.0,1649.0,16.5,74.0,toyota corona,1
61,3.0,32.0,4.0,83.0,2003.0,19.0,74.0,datsun 710,1
75,1.0,28.0,4.0,90.0,2125.0,14.5,74.0,dodge colt,1
150,2.0,24.0,4.0,90.0,2108.0,15.5,74.0,fiat 128,1
75,2.0,26.0,4.0,116.0,2246.0,14.0,74.0,fiat 124 tc,1
97,3.0,24.0,4.0,120.0,2489.0,15.0,74.0,honda civic,1
93,3.0,26.0,4.0,108.0,2391.0,15.5,74.0,subaru,1
67,2.0,31.0,4.0,79.0,2000.0,16.0,74.0,fiat x1.9,1
95,1.0,19.0,6.0,225.0,3264.0,16.0,75.0,plymouth valiant custom,1
105,1.0,18.0,6.0,250.0,3459.0,16.0,75.0,chevrolet nova,1
72,1.0,15.0,6.0,250.0,3432.0,21.0,75.0,mercury monarch,1
72,1.0,15.0,6.0,250.0,3158.0,19.5,75.0,ford maverick,1
170,1.0,16.0,8.0,400.0,4668.0,11.5,75.0,pontiac catalina,1
145,1.0,15.0,8.0,350.0,4440.0,14.0,75.0,chevrolet bel air,1
150,1.0,16.0,8.0,318.0,4498.0,14.5,75.0,plymouth grand fury,1
148,1.0,14.0,8.0,351.0,4657.0,13.5,75.0,ford ltd,1
110,1.0,17.0,6.0,231.0,3907.0,21.0,75.0,buick century,1
105,1.0,16.0,6.0,250.0,3897.0,18.5,75.0,chevroelt chevelle malibu,1
110,1.0,15.0,6.0,258.0,3730.0,19.0,75.0,amc matador,1
95,1.0,18.0,6.0,225.0,3785.0,19.0,75.0,plymouth fury,1
110,1.0,21.0,6.0,231.0,3039.0,15.0,75.0,buick skyhawk,1
110,1.0,20.0,8.0,262.0,3221.0,13.5,75.0,chevrolet monza 2+2,1
129,1.0,13.0,8.0,302.0,3169.0,12.0,75.0,ford mustang ii,1
150,3.0,29.0,4.0,97.0,2171.0,16.0,75.0,toyota corolla,1
83,1.0,23.0,4.0,140.0,2639.0,17.0,75.0,ford pinto,1
100,1.0,20.0,6.0,232.0,2914.0,16.0,75.0,amc gremlin,1
78,1.0,23.0,4.0,140.0,2592.0,18.5,75.0,pontiac astro,1
96,3.0,24.0,4.0,134.0,2702.0,13.5,75.0,toyota corona,1
71,2.0,25.0,4.0,90.0,2223.0,16.5,75.0,volkswagen dasher,1
97,3.0,24.0,4.0,119.0,2545.0,17.0,75.0,datsun 710,1
97,1.0,18.0,6.0,171.0,2984.0,14.5,75.0,ford pinto,1
70,2.0,29.0,4.0,90.0,1937.0,14.0,75.0,volkswagen rabbit,1
90,1.0,19.0,6.0,232.0,3211.0,17.0,75.0,amc pacer,1
95,2.0,23.0,4.0,115.0,2694.0,15.0,75.0,audi 100ls,1
88,1.0,23.0,4.0,120.0,2957.0,17.0,75.0,peugeot 504,1
98,2.0,22.0,4.0,121.0,2945.0,14.5,75.0,volvo 244dl,1
115,2.0,25.0,4.0,121.0,2671.0,13.5,75.0,saab 99le,1
53,3.0,33.0,4.0,91.0,1795.0,17.5,75.0,honda civic cvcc,1
86,2.0,28.0,4.0,107.0,2464.0,15.5,76.0,fiat 131,1
81,2.0,25.0,4.0,116.0,2220.0,16.9,76.0,opel 1900,1
92,1.0,25.0,4.0,140.0,2572.0,14.9,76.0,capri ii,1
79,1.0,26.0,4.0,98.0,2255.0,17.7,76.0,dodge colt,1
83,2.0,27.0,4.0,101.0,2202.0,15.3,76.0,renault 12tl,1
140,1.0,17.5,8.0,305.0,4215.0,13.0,76.0,chevrolet chevelle malibu classic,1
150,1.0,16.0,8.0,318.0,4190.0,13.0,76.0,dodge coronet brougham,1
150,1.0,15.5,8.0,304.0,3962.0,13.9,76.0,amc matador,1
152,1.0,14.5,8.0,351.0,4215.0,12.8,76.0,ford gran torino,1
100,1.0,22.0,6.0,225.0,3233.0,15.4,76.0,plymouth valiant,1
105,1.0,22.0,6.0,250.0,3353.0,14.5,76.0,chevrolet nova,1
81,1.0,24.0,6.0,200.0,3012.0,17.6,76.0,ford maverick,1
90,1.0,22.5,6.0,232.0,3085.0,17.6,76.0,amc hornet,1
52,1.0,29.0,4.0,85.0,2035.0,22.2,76.0,chevrolet chevette,1
60,1.0,24.5,4.0,98.0,2164.0,22.1,76.0,chevrolet woody,1
70,2.0,29.0,4.0,90.0,1937.0,14.2,76.0,vw rabbit,1
53,3.0,33.0,4.0,91.0,1795.0,17.4,76.0,honda civic,1
150,1.0,20.0,6.0,225.0,3651.0,17.7,76.0,dodge aspen se,1
78,1.0,18.0,6.0,250.0,3574.0,21.0,76.0,ford granada ghia,1
110,1.0,18.5,6.0,250.0,3645.0,16.2,76.0,pontiac ventura sj,1
95,1.0,17.5,6.0,258.0,3193.0,17.8,76.0,amc pacer d/l,1
71,2.0,29.5,4.0,97.0,1825.0,12.2,76.0,volkswagen rabbit,1
70,3.0,32.0,4.0,85.0,1990.0,17.0,76.0,datsun b-210,1
75,3.0,28.0,4.0,97.0,2155.0,16.4,76.0,toyota corolla,1
72,1.0,26.5,4.0,140.0,2565.0,13.6,76.0,ford pinto,1
102,2.0,20.0,4.0,130.0,3150.0,15.7,76.0,volvo 245,1
150,1.0,13.0,8.0,318.0,3940.0,13.2,76.0,plymouth volare premier v8,1
88,1.0,19.0,4.0,120.0,3270.0,21.9,76.0,peugeot 504,1
108,3.0,19.0,6.0,156.0,2930.0,15.5,76.0,toyota mark ii,1
120,2.0,16.5,6.0,168.0,3820.0,16.7,76.0,mercedes-benz 280s,1
180,1.0,16.5,8.0,350.0,4380.0,12.1,76.0,cadillac seville,1
145,1.0,13.0,8.0,350.0,4055.0,12.0,76.0,chevy c10,1
130,1.0,13.0,8.0,302.0,3870.0,15.0,76.0,ford f108,1
150,1.0,13.0,8.0,318.0,3755.0,14.0,76.0,dodge d100,1
68,3.0,31.5,4.0,98.0,2045.0,18.5,77.0,honda accord cvcc,1
80,1.0,30.0,4.0,111.0,2155.0,14.8,77.0,buick opel isuzu deluxe,1
58,2.0,36.0,4.0,79.0,1825.0,18.6,77.0,renault 5 gtl,1
96,1.0,25.5,4.0,122.0,2300.0,15.5,77.0,plymouth arrow gs,1
70,3.0,33.5,4.0,85.0,1945.0,16.8,77.0,datsun f-10 hatchback,1
145,1.0,17.5,8.0,305.0,3880.0,12.5,77.0,chevrolet caprice classic,1
150,1.0,17.0,8.0,260.0,4060.0,19.0,77.0,oldsmobile cutlass supreme,1
145,1.0,15.5,8.0,318.0,4140.0,13.7,77.0,dodge monaco brougham,1
130,1.0,15.0,8.0,302.0,4295.0,14.9,77.0,mercury cougar brougham,1
110,1.0,17.5,6.0,250.0,3520.0,16.4,77.0,chevrolet concours,1
105,1.0,20.5,6.0,231.0,3425.0,16.9,77.0,buick skylark,1
100,1.0,19.0,6.0,225.0,3630.0,17.7,77.0,plymouth volare custom,1
98,1.0,18.5,6.0,250.0,3525.0,19.0,77.0,ford granada,1
180,1.0,16.0,8.0,400.0,4220.0,11.1,77.0,pontiac grand prix lj,1
170,1.0,15.5,8.0,350.0,4165.0,11.4,77.0,chevrolet monte carlo landau,1
190,1.0,15.5,8.0,400.0,4325.0,12.2,77.0,chrysler cordoba,1
149,1.0,16.0,8.0,351.0,4335.0,14.5,77.0,ford thunderbird,1
78,2.0,29.0,4.0,97.0,1940.0,14.5,77.0,volkswagen rabbit custom,1
88,1.0,24.5,4.0,151.0,2740.0,16.0,77.0,pontiac sunbird coupe,1
75,3.0,26.0,4.0,97.0,2265.0,18.2,77.0,toyota corolla liftback,1
89,1.0,25.5,4.0,140.0,2755.0,15.8,77.0,ford mustang ii 2+2,1
63,1.0,30.5,4.0,98.0,2051.0,17.0,77.0,chevrolet chevette,1
83,1.0,33.5,4.0,98.0,2075.0,15.9,77.0,dodge colt m/m,1
67,3.0,30.0,4.0,97.0,1985.0,16.4,77.0,subaru dl,1
78,2.0,30.5,4.0,97.0,2190.0,14.1,77.0,volkswagen dasher,1
97,1.0,22.0,6.0,146.0,2815.0,14.5,77.0,datsun 810,1
110,2.0,21.5,4.0,121.0,2600.0,12.8,77.0,bmw 320i,1
110,3.0,21.5,3.0,80.0,2720.0,13.5,77.0,mazda rx-4,1
48,2.0,43.1,4.0,90.0,1985.0,21.5,78.0,volkswagen rabbit custom diesel,1
66,1.0,36.1,4.0,98.0,1800.0,14.4,78.0,ford fiesta,1
52,3.0,32.8,4.0,78.0,1985.0,19.4,78.0,mazda glc deluxe,1
70,3.0,39.4,4.0,85.0,2070.0,18.6,78.0,datsun b210 gx,1
60,3.0,36.1,4.0,91.0,1800.0,16.4,78.0,honda civic cvcc,1
110,1.0,19.9,8.0,260.0,3365.0,15.5,78.0,oldsmobile cutlass salon brougham,1
140,1.0,19.4,8.0,318.0,3735.0,13.2,78.0,dodge diplomat,1
139,1.0,20.2,8.0,302.0,3570.0,12.8,78.0,mercury monarch ghia,1
105,1.0,19.2,6.0,231.0,3535.0,19.2,78.0,pontiac phoenix lj,1
95,1.0,20.5,6.0,200.0,3155.0,18.2,78.0,chevrolet malibu,1
85,1.0,20.2,6.0,200.0,2965.0,15.8,78.0,ford fairmont (auto),1
88,1.0,25.1,4.0,140.0,2720.0,15.4,78.0,ford fairmont (man),1
100,1.0,20.5,6.0,225.0,3430.0,17.2,78.0,plymouth volare,1
90,1.0,19.4,6.0,232.0,3210.0,17.2,78.0,amc concord,1
105,1.0,20.6,6.0,231.0,3380.0,15.8,78.0,buick century special,1
85,1.0,20.8,6.0,200.0,3070.0,16.7,78.0,mercury zephyr,1
110,1.0,18.6,6.0,225.0,3620.0,18.7,78.0,dodge aspen,1
120,1.0,18.1,6.0,258.0,3410.0,15.1,78.0,amc concord d/l,1
145,1.0,19.2,8.0,305.0,3425.0,13.2,78.0,chevrolet monte carlo landau,1
165,1.0,17.7,6.0,231.0,3445.0,13.4,78.0,buick regal sport coupe (turbo),1
